timestamp,user_id,session_id,usage_index,task_label,event_type,key,button,x,y
2025-11-21T02:35:12.055933,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:12.065029,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:12.096418,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:12.129302,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.139999,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.168683,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.203534,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.204641,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.213561,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.248106,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.276101,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.306439,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.558381,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.573991,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.581997,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.585989,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.602575,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.894462,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:13.934634,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:14.306440,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:14.333464,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:14.337852,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:14.341853,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:14.345852,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:14.350509,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:14.353896,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,837,494
2025-11-21T02:35:14.838465,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,843,484
2025-11-21T02:35:14.853899,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,843,484
2025-11-21T02:35:14.866612,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,843,484
2025-11-21T02:35:14.878737,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,843,484
2025-11-21T02:35:14.886302,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,843,484
2025-11-21T02:35:14.901552,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,843,484
2025-11-21T02:35:14.910257,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,843,484
2025-11-21T02:35:14.934523,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,843,484
2025-11-21T02:35:15.483971,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:15.519837,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:15.550439,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:15.583610,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:15.628737,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:16.188404,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:16.220395,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:16.252020,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:16.282910,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:16.311304,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:16.339757,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:16.370971,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:16.405000,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:17.222869,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:17.234196,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:17.242369,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:17.250387,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:17.254538,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:17.270788,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:17.278793,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:17.294793,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:18.358396,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:18.370204,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:18.378044,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:18.386444,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:18.397868,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:18.413991,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:18.438333,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:18.936185,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:18.970641,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:18.999970,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:19.028494,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:19.062895,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:19.094976,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:19.150448,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:19.186330,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:19.684796,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:19.727702,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:19.763476,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:19.791260,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:19.792183,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:19.821790,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:19.836415,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:19.870494,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:21.250208,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:21.270374,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:21.278259,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:21.286484,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:21.294409,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:21.301715,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:21.318531,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:21.330066,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:22.266035,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:22.294954,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:22.327970,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:22.346563,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:22.392274,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:22.438430,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:22.469615,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,844,482
2025-11-21T02:35:22.943894,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:22.981892,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:23.000688,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:23.032402,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:23.055981,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:23.077338,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:23.078896,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:23.078896,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:23.698493,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:23.718619,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:23.722619,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:23.726731,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:23.730498,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:23.734053,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:23.742736,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:23.754506,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:24.771008,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:24.785984,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:24.790327,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:24.794475,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:24.798490,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:24.802066,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:24.818435,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
2025-11-21T02:35:24.834727,1,20251121023501_1_m5sl,1,webtoon,mouse_scroll,,,846,482
