timestamp,user_id,session_id,usage_index,task_label,event_type,key,button,x,y
2025-11-22T05:12:56.358129,1,20251122051251_1_4x8c,1,study,key_press,Key.f12,,,
2025-11-22T05:13:03.639771,1,20251122051251_1_4x8c,1,study,mouse_down,,Button.left,748,1064
2025-11-22T05:13:03.703848,1,20251122051251_1_4x8c,1,study,mouse_up,,Button.left,748,1064
2025-11-22T05:13:04.359455,1,20251122051251_1_4x8c,1,study,mouse_down,,Button.left,901,529
2025-11-22T05:13:04.423048,1,20251122051251_1_4x8c,1,study,mouse_up,,Button.left,901,529
2025-11-22T05:13:04.782956,1,20251122051251_1_4x8c,1,study,mouse_scroll,,,901,528
2025-11-22T05:13:06.112477,1,20251122051251_1_4x8c,1,study,key_press,Key.enter,,,
2025-11-22T05:13:07.215303,1,20251122051251_1_4x8c,1,study,key_press,a,,,
2025-11-22T05:13:07.398730,1,20251122051251_1_4x8c,1,study,key_press,f,,,
2025-11-22T05:13:07.632041,1,20251122051251_1_4x8c,1,study,key_press,f,,,
2025-11-22T05:13:08.196768,1,20251122051251_1_4x8c,1,study,key_press,j,,,
2025-11-22T05:13:08.610260,1,20251122051251_1_4x8c,1,study,key_press,u,,,
2025-11-22T05:13:08.856948,1,20251122051251_1_4x8c,1,study,key_press,u,,,
2025-11-22T05:13:09.071878,1,20251122051251_1_4x8c,1,study,key_press,i,,,
2025-11-22T05:13:09.302399,1,20251122051251_1_4x8c,1,study,key_press,h,,,
2025-11-22T05:13:09.814250,1,20251122051251_1_4x8c,1,study,key_press,n,,,
2025-11-22T05:13:10.861310,1,20251122051251_1_4x8c,1,study,key_press,t,,,
2025-11-22T05:13:11.627435,1,20251122051251_1_4x8c,1,study,key_press,v,,,
2025-11-22T05:13:12.407350,1,20251122051251_1_4x8c,1,study,key_press,d,,,
2025-11-22T05:13:12.829812,1,20251122051251_1_4x8c,1,study,key_press,g,,,
2025-11-22T05:13:13.508676,1,20251122051251_1_4x8c,1,study,key_press,w,,,
2025-11-22T05:13:14.045172,1,20251122051251_1_4x8c,1,study,key_press,t,,,
2025-11-22T05:13:14.875649,1,20251122051251_1_4x8c,1,study,key_press,u,,,
2025-11-22T05:13:15.819964,1,20251122051251_1_4x8c,1,study,key_press,n,,,
2025-11-22T05:13:16.177939,1,20251122051251_1_4x8c,1,study,key_press,",",,,
2025-11-22T05:13:16.637475,1,20251122051251_1_4x8c,1,study,key_press,k,,,
2025-11-22T05:13:17.594786,1,20251122051251_1_4x8c,1,study,key_press,f,,,
2025-11-22T05:13:18.265750,1,20251122051251_1_4x8c,1,study,key_press,r,,,
2025-11-22T05:13:18.698661,1,20251122051251_1_4x8c,1,study,key_press,f,,,
2025-11-22T05:13:19.421022,1,20251122051251_1_4x8c,1,study,key_press,v,,,
2025-11-22T05:13:19.688491,1,20251122051251_1_4x8c,1,study,key_press,c,,,
2025-11-22T05:13:20.186442,1,20251122051251_1_4x8c,1,study,key_press,g,,,
2025-11-22T05:13:20.804903,1,20251122051251_1_4x8c,1,study,key_press,u,,,
2025-11-22T05:13:21.364272,1,20251122051251_1_4x8c,1,study,key_press,t,,,
2025-11-22T05:13:22.214924,1,20251122051251_1_4x8c,1,study,key_press,f,,,
